X,Y
72.0,71.98165263510312
56.00000000000001,70.06403261403713
56.00000000000001,70.06403261403713
80.0,72.9404626456361
52.0,69.58462760877063
52.0,69.58462760877063
72.0,71.98165263510312
80.0,72.9404626456361
72.0,71.98165263510312
52.0,69.58462760877063
80.0,72.9404626456361
52.0,69.58462760877063
48.0,69.10522260350413
60.0,70.54343761930363
76.0,72.46105764036962
64.0,71.02284262457012
60.0,70.54343761930363
56.00000000000001,70.06403261403713
48.0,69.10522260350413
76.0,72.46105764036962
68.0,71.50224762983662
72.0,71.98165263510312
72.0,71.98165263510312
76.0,72.46105764036962
32.0,67.18760258243815
52.0,69.58462760877063
56.00000000000001,70.06403261403713
64.0,71.02284262457012
68.0,71.50224762983662
44.0,68.62581759823765
48.0,69.10522260350413
44.0,68.62581759823765
60.0,70.54343761930363
68.0,71.50224762983662
48.0,69.10522260350413
48.0,69.10522260350413
60.0,70.54343761930363
56.00000000000001,70.06403261403713
76.0,72.46105764036962
48.0,69.10522260350413
52.0,69.58462760877063
36.0,67.66700758770465
48.0,69.10522260350413
52.0,69.58462760877063
68.0,71.50224762983662
72.0,71.98165263510312
36.0,67.66700758770465
60.0,70.54343761930363
52.0,69.58462760877063
68.0,71.50224762983662
52.0,69.58462760877063
76.0,72.46105764036962
60.0,70.54343761930363
60.0,70.54343761930363
80.0,72.9404626456361
76.0,72.46105764036962
72.0,71.98165263510312
76.0,72.46105764036962
52.0,69.58462760877063
60.0,70.54343761930363
52.0,69.58462760877063
44.0,68.62581759823765
68.0,71.50224762983662
72.0,71.98165263510312
68.0,71.50224762983662
46.0,68.86552010087088
76.0,72.46105764036962
60.0,70.54343761930363
64.0,71.02284262457012
76.0,72.46105764036962
36.0,67.66700758770465
60.0,70.54343761930363
52.0,69.58462760877063
56.00000000000001,70.06403261403713
56.00000000000001,70.06403261403713
56.00000000000001,70.06403261403713
44.0,68.62581759823765
48.0,69.10522260350413
64.0,71.02284262457012
52.0,69.58462760877063
64.0,71.02284262457012
76.0,72.46105764036962
56.00000000000001,70.06403261403713
60.0,70.54343761930363
40.0,68.14641259297115
60.0,70.54343761930363
64.0,71.02284262457012
